date_time,Allansford_maxtempC,Allansford_mintempC,Allansford_totalSnow_cm,Allansford_sunHour,Allansford_uvIndex,Allansford_uvIndex,Allansford_moon_illumination,Allansford_moonrise,Allansford_moonset,Allansford_sunrise,Allansford_sunset,Allansford_DewPointC,Allansford_FeelsLikeC,Allansford_HeatIndexC,Allansford_WindChillC,Allansford_WindGustKmph,Allansford_cloudcover,Allansford_humidity,Allansford_precipMM,Allansford_pressure,Allansford_tempC,Allansford_visibility,Allansford_winddirDegree,Allansford_windspeedKmph
2020-02-13 15:00:00,30,17,0.0,13.3,7,7,60,10:16 PM,10:06 AM,05:55 AM,07:32 PM,18,31,31,29,19,12,51,0.0,1009,29,10,109,17
2020-02-13 18:00:00,30,17,0.0,13.3,7,1,60,10:16 PM,10:06 AM,05:55 AM,07:32 PM,18,28,28,27,25,18,60,0.0,1009,27,10,101,17
2020-02-13 21:00:00,30,17,0.0,13.3,7,1,60,10:16 PM,10:06 AM,05:55 AM,07:32 PM,18,23,23,22,25,22,78,0.0,1009,22,10,84,15
2020-02-14 00:00:00,33,19,0.0,9.8,7,1,53,10:48 PM,11:18 AM,05:56 AM,07:31 PM,18,20,20,20,21,27,89,0.0,1008,20,10,77,13
2020-02-14 03:00:00,33,19,0.0,9.8,7,1,53,10:48 PM,11:18 AM,05:56 AM,07:31 PM,18,19,19,19,19,35,94,0.0,1007,19,5,71,11
2020-02-14 06:00:00,33,19,0.0,9.8,7,1,53,10:48 PM,11:18 AM,05:56 AM,07:31 PM,18,20,20,20,17,54,91,0.1,1007,20,7,65,10
2020-02-14 09:00:00,33,19,0.0,9.8,7,5,53,10:48 PM,11:18 AM,05:56 AM,07:31 PM,19,26,26,25,10,73,71,0.5,1007,25,9,26,6
2020-02-14 12:00:00,33,19,0.0,9.8,7,7,53,10:48 PM,11:18 AM,05:56 AM,07:31 PM,18,32,32,31,15,80,48,0.4,1005,31,9,170,13
2020-02-14 15:00:00,33,19,0.0,9.8,7,6,53,10:48 PM,11:18 AM,05:56 AM,07:31 PM,19,28,28,26,32,86,70,3.3,1004,26,8,231,20
2020-02-14 18:00:00,33,19,0.0,9.8,7,1,53,10:48 PM,11:18 AM,05:56 AM,07:31 PM,19,21,21,21,18,96,89,3.1,1006,21,9,220,10
2020-02-14 21:00:00,33,19,0.0,9.8,7,1,53,10:48 PM,11:18 AM,05:56 AM,07:31 PM,18,19,19,19,19,88,95,2.4,1007,19,10,226,12
2020-02-15 00:00:00,17,15,0.0,8.6,4,1,45,11:23 PM,12:27 PM,05:57 AM,07:30 PM,17,18,18,18,26,94,96,0.8,1008,18,10,216,17
2020-02-15 03:00:00,17,15,0.0,8.6,4,1,45,11:23 PM,12:27 PM,05:57 AM,07:30 PM,17,17,17,17,29,100,95,0.1,1008,17,10,199,19
2020-02-15 06:00:00,17,15,0.0,8.6,4,1,45,11:23 PM,12:27 PM,05:57 AM,07:30 PM,16,17,17,17,30,100,95,0.4,1010,17,5,186,21
2020-02-15 09:00:00,17,15,0.0,8.6,4,4,45,11:23 PM,12:27 PM,05:57 AM,07:30 PM,16,17,17,17,31,100,93,1.0,1012,17,7,175,22
2020-02-15 12:00:00,17,15,0.0,8.6,4,4,45,11:23 PM,12:27 PM,05:57 AM,07:30 PM,15,17,17,17,29,100,87,0.5,1013,17,10,174,23
2020-02-15 15:00:00,17,15,0.0,8.6,4,4,45,11:23 PM,12:27 PM,05:57 AM,07:30 PM,13,17,17,17,26,100,80,0.1,1013,17,10,176,22
2020-02-15 18:00:00,17,15,0.0,8.6,4,1,45,11:23 PM,12:27 PM,05:57 AM,07:30 PM,12,16,16,16,28,99,79,0.0,1014,16,10,173,22
