date_time,Aimadamodo_maxtempC,Aimadamodo_mintempC,Aimadamodo_totalSnow_cm,Aimadamodo_sunHour,Aimadamodo_uvIndex,Aimadamodo_uvIndex,Aimadamodo_moon_illumination,Aimadamodo_moonrise,Aimadamodo_moonset,Aimadamodo_sunrise,Aimadamodo_sunset,Aimadamodo_DewPointC,Aimadamodo_FeelsLikeC,Aimadamodo_HeatIndexC,Aimadamodo_WindChillC,Aimadamodo_WindGustKmph,Aimadamodo_cloudcover,Aimadamodo_humidity,Aimadamodo_precipMM,Aimadamodo_pressure,Aimadamodo_tempC,Aimadamodo_visibility,Aimadamodo_winddirDegree,Aimadamodo_windspeedKmph
2020-04-08 03:00:00,30,28,0.0,8.8,7,1,100,06:15 PM,05:53 AM,05:57 AM,05:53 PM,24,33,33,29,20,37,75,0.7,1008,29,10,113,14
2020-04-08 06:00:00,30,28,0.0,8.8,7,6,100,06:15 PM,05:53 AM,05:57 AM,05:53 PM,24,33,33,29,21,82,75,2.2,1009,29,8,117,14
2020-04-08 09:00:00,30,28,0.0,8.8,7,7,100,06:15 PM,05:53 AM,05:57 AM,05:53 PM,24,34,34,29,19,61,71,1.7,1010,29,8,116,13
2020-04-08 12:00:00,30,28,0.0,8.8,7,8,100,06:15 PM,05:53 AM,05:57 AM,05:53 PM,24,35,35,30,17,26,68,0.0,1010,30,10,105,12
2020-04-08 15:00:00,30,28,0.0,8.8,7,7,100,06:15 PM,05:53 AM,05:57 AM,05:53 PM,23,35,35,30,18,44,68,0.0,1008,30,10,116,14
2020-04-08 18:00:00,30,28,0.0,8.8,7,1,100,06:15 PM,05:53 AM,05:57 AM,05:53 PM,24,34,34,30,22,35,70,0.0,1010,30,9,119,15
2020-04-08 21:00:00,30,28,0.0,8.8,7,1,100,06:15 PM,05:53 AM,05:57 AM,05:53 PM,24,34,34,29,24,20,73,0.0,1011,29,10,121,17
2020-04-09 00:00:00,30,29,0.0,7.4,6,1,83,07:05 PM,06:51 AM,05:57 AM,05:52 PM,24,33,33,29,22,29,74,0.1,1011,29,10,109,15
2020-04-09 03:00:00,30,29,0.0,7.4,6,1,83,07:05 PM,06:51 AM,05:57 AM,05:52 PM,24,33,33,29,21,76,75,0.6,1010,29,9,111,15
2020-04-09 06:00:00,30,29,0.0,7.4,6,6,83,07:05 PM,06:51 AM,05:57 AM,05:52 PM,23,33,33,29,19,84,73,1.2,1011,29,9,99,13
2020-04-09 09:00:00,30,29,0.0,7.4,6,7,83,07:05 PM,06:51 AM,05:57 AM,05:52 PM,23,34,34,30,17,64,69,0.9,1012,30,9,107,12
2020-04-09 12:00:00,30,29,0.0,7.4,6,7,83,07:05 PM,06:51 AM,05:57 AM,05:52 PM,23,34,34,30,15,44,64,0.0,1012,30,10,118,11
2020-04-09 15:00:00,30,29,0.0,7.4,6,7,83,07:05 PM,06:51 AM,05:57 AM,05:52 PM,23,34,34,30,17,76,65,0.3,1010,30,10,118,13
2020-04-09 18:00:00,30,29,0.0,7.4,6,1,83,07:05 PM,06:51 AM,05:57 AM,05:52 PM,23,34,34,30,22,78,68,0.7,1011,30,9,132,15
2020-04-09 21:00:00,30,29,0.0,7.4,6,1,83,07:05 PM,06:51 AM,05:57 AM,05:52 PM,23,33,33,29,24,53,71,0.5,1012,29,9,123,17
2020-04-10 00:00:00,30,28,0.0,8.8,7,1,76,07:57 PM,07:51 AM,05:57 AM,05:51 PM,23,33,33,29,24,15,72,0.0,1012,29,10,111,17
2020-04-10 03:00:00,30,28,0.0,8.8,7,1,76,07:57 PM,07:51 AM,05:57 AM,05:51 PM,23,32,32,29,22,13,72,0.0,1011,29,10,110,15
2020-04-10 06:00:00,30,28,0.0,8.8,7,7,76,07:57 PM,07:51 AM,05:57 AM,05:51 PM,23,32,32,29,22,15,71,0.0,1011,29,10,112,15
2020-04-10 09:00:00,30,28,0.0,8.8,7,6,76,07:57 PM,07:51 AM,05:57 AM,05:51 PM,23,33,33,29,20,43,68,0.2,1012,29,10,119,14
2020-04-10 12:00:00,30,28,0.0,8.8,7,6,76,07:57 PM,07:51 AM,05:57 AM,05:51 PM,23,34,34,30,17,82,65,1.3,1011,30,8,140,12
2020-04-10 15:00:00,30,28,0.0,8.8,7,6,76,07:57 PM,07:51 AM,05:57 AM,05:51 PM,23,33,33,29,20,82,67,2.6,1009,29,8,147,13
2020-04-10 18:00:00,30,28,0.0,8.8,7,1,76,07:57 PM,07:51 AM,05:57 AM,05:51 PM,23,33,33,29,26,81,70,1.8,1010,29,9,141,17
2020-04-10 21:00:00,30,28,0.0,8.8,7,1,76,07:57 PM,07:51 AM,05:57 AM,05:51 PM,23,33,33,29,26,51,70,0.7,1011,29,9,124,18
2020-04-11 00:00:00,30,28,0.0,8.8,6,1,68,08:50 PM,08:51 AM,05:57 AM,05:51 PM,23,32,32,29,24,33,70,0.3,1011,29,10,112,17
2020-04-11 03:00:00,30,28,0.0,8.8,6,1,68,08:50 PM,08:51 AM,05:57 AM,05:51 PM,22,31,31,28,20,86,69,0.7,1010,28,9,104,14
2020-04-11 06:00:00,30,28,0.0,8.8,6,7,68,08:50 PM,08:51 AM,05:57 AM,05:51 PM,22,31,31,28,15,67,68,0.1,1010,28,10,112,10
2020-04-11 09:00:00,30,28,0.0,8.8,6,7,68,08:50 PM,08:51 AM,05:57 AM,05:51 PM,22,32,32,29,14,27,65,0.0,1011,29,10,125,10
2020-04-11 12:00:00,30,28,0.0,8.8,6,6,68,08:50 PM,08:51 AM,05:57 AM,05:51 PM,22,32,32,29,21,49,65,0.1,1010,29,10,139,16
2020-04-11 15:00:00,30,28,0.0,8.8,6,6,68,08:50 PM,08:51 AM,05:57 AM,05:51 PM,23,32,32,28,28,83,72,0.3,1009,28,9,134,21
2020-04-11 18:00:00,30,28,0.0,8.8,6,1,68,08:50 PM,08:51 AM,05:57 AM,05:51 PM,22,32,32,29,28,78,70,0.5,1009,29,9,123,20
2020-04-11 21:00:00,30,28,0.0,8.8,6,1,68,08:50 PM,08:51 AM,05:57 AM,05:51 PM,23,32,32,28,30,85,72,0.8,1010,28,9,112,21
2020-04-12 00:00:00,29,28,0.0,11.6,6,1,61,09:45 PM,09:52 AM,05:57 AM,05:50 PM,23,32,32,28,30,78,74,2.1,1010,28,8,107,20
2020-04-12 03:00:00,29,28,0.0,11.6,6,1,61,09:45 PM,09:52 AM,05:57 AM,05:50 PM,23,31,31,28,24,64,73,2.3,1009,28,8,95,15
2020-04-12 06:00:00,29,28,0.0,11.6,6,7,61,09:45 PM,09:52 AM,05:57 AM,05:50 PM,22,32,32,29,15,37,69,0.0,1009,29,10,79,11
2020-04-12 09:00:00,29,28,0.0,11.6,6,7,61,09:45 PM,09:52 AM,05:57 AM,05:50 PM,22,32,32,29,14,51,67,0.0,1010,29,10,74,10
2020-04-12 12:00:00,29,28,0.0,11.6,6,7,61,09:45 PM,09:52 AM,05:57 AM,05:50 PM,23,33,33,29,18,44,67,0.0,1010,29,10,62,13
2020-04-12 15:00:00,29,28,0.0,11.6,6,6,61,09:45 PM,09:52 AM,05:57 AM,05:50 PM,22,33,33,29,19,49,68,0.0,1009,29,10,35,14
2020-04-12 18:00:00,29,28,0.0,11.6,6,1,61,09:45 PM,09:52 AM,05:57 AM,05:50 PM,23,33,33,29,22,63,69,0.1,1010,29,10,35,15
2020-04-12 21:00:00,29,28,0.0,11.6,6,1,61,09:45 PM,09:52 AM,05:57 AM,05:50 PM,23,33,33,29,21,45,72,0.0,1011,29,10,27,14
2020-04-13 00:00:00,29,28,0.0,11.6,7,1,53,10:41 PM,10:50 AM,05:57 AM,05:50 PM,23,32,32,28,16,45,74,0.0,1010,28,10,27,12
2020-04-13 03:00:00,29,28,0.0,11.6,7,1,53,10:41 PM,10:50 AM,05:57 AM,05:50 PM,23,32,32,28,17,42,75,0.0,1009,28,10,50,12
2020-04-13 06:00:00,29,28,0.0,11.6,7,7,53,10:41 PM,10:50 AM,05:57 AM,05:50 PM,24,33,33,29,21,57,76,0.0,1010,29,10,41,15
2020-04-13 09:00:00,29,28,0.0,11.6,7,7,53,10:41 PM,10:50 AM,05:57 AM,05:50 PM,24,33,33,29,23,47,76,0.0,1011,29,10,37,17
